Submitter	bases	rel_bases
Washington University in St. Louis, School of Medi	1.05588714496e+12	8.87418972174e-05
University of Vienna	1.05447656822e+12	8.86233454792e-05
Harvard T.H. Chan School of Public Health	1.05181161868e+12	8.83993701431e-05
University of California, San Francisco	1.05045086635e+12	8.82850058912e-05
Pennsylvania State University	1.0495692818e+12	8.82109132331e-05
Macrogen	1.03860432639e+12	8.72893649868e-05
Human Longevity Inc	1.0367968665e+12	8.71374572567e-05
NORWEGIAN UNIVERSITY OF LIFE SCIENCES	1.0333506595e+12	8.68478212394e-05
University of Oregon	1.01592406236e+12	8.53832051585e-05
University of York	1.01532282748e+12	8.53326744517e-05
UT_FMUH	1.01511383789e+12	8.53151099485e-05
SCOPE	1.00527832973e+12	8.44884859499e-05
Utah State University	1.00336368951e+12	8.43275702627e-05
LAVAL UNIVERSITY	1.00286594789e+12	8.42857376328e-05
INRA (INRA Rennes)	1.00119705078e+12	8.41454753934e-05
Sun Yat-sen University	1.00039163233e+12	8.40777841052e-05
Oak Ridge National Laboratory	9.91168223954e+11	8.33026039523e-05
Kunming Institute of  Zoology, Chinese Academy of 	9.8984689337e+11	8.31915528959e-05
University of California, Santa Cruz	9.8915936258e+11	8.31337694604e-05
Ocean University of China	9.87926882942e+11	8.30301858702e-05
UL	9.87085254808e+11	8.29594513436e-05
Institute for Research in Immunology and Cancer	9.86327033565e+11	8.28957267382e-05
KTH	9.86266207884e+11	8.28906146518e-05
National University of Singapore	9.86252431493e+11	8.28894568168e-05
UMMSM-phs001080	9.85844802404e+11	8.28551976833e-05
Umea Plant Science Centre	9.8570463134e+11	8.28434170245e-05
Stanford	9.85516416104e+11	8.28275984996e-05
Max Planck Institute for Evolutionary Biology, Tue	9.76789502431e+11	8.20941461795e-05
YU-MS	9.73513020714e+11	8.18187747014e-05
University of Windsor	9.73281502084e+11	8.17993167484e-05
Research Centre for Natural Sciences	9.7262234744e+11	8.17439181824e-05
